2019-03-30 07:58:55.1467|DEBUG|ShoppingStore.Program|init main |url: |action: 
2019-03-30 07:59:49.6612|INFO|ShoppingStore.Controllers.HomeController|User:abc login |url: https://localhost/login|action: Index
2019-03-30 08:00:00.4742|INFO|ShoppingStore.Controllers.HomeController|User:abc viewed order list |url: https://localhost/OrderList|action: Index
2019-03-30 08:00:12.4536|INFO|ShoppingStore.Controllers.HomeController|User:abc add item:4 with number:1 to cart |url: https://localhost/item/AddCart|action: AddCart
2019-03-30 08:00:15.3447|INFO|ShoppingStore.Controllers.HomeController|User:abc viewed cart |url: https://localhost/cart|action: Index
2019-03-30 08:00:16.9025|INFO|ShoppingStore.Controllers.HomeController|User:abc checkout |url: https://localhost/Checkout|action: Index
2019-03-30 08:00:41.7290|ERROR|ShoppingStore.Controllers.HomeController|Verify order:{"OrderId":null,"Staus":null,"PlacedTime":"0001-01-01T00:00:00","Total":0.0,"User":null,"OrderItems":null,"ShippingAddressId":0,"ShippingAddress":{"AddressId":0,"FirstName":"yy","LastName":"tt","Address1":"288 Chestnut Ave, dsds, dsds","Address2":"dsds","City":"Jamai","State":"ny","Zip":"02130","Phone":"","DefaultAddress":false},"PaymentId":0,"Payment":{"PaymentId":0,"NameOnCard":"huang","CardType":"Debit card","Issuer":null,"CardNumber":"1122334455667788","Expiration":"0120","CVV":"123","DefaultPayment":false,"BillingAddressId":0,"BillingAddress":{"AddressId":0,"FirstName":"Lily","LastName":"kolve","Address1":"ddss, dsd","Address2":"dsd","City":"bos","State":"ma","Zip":"09114","Phone":null,"DefaultAddress":false}},"Tracking":null} failed: Invalid Phone Number |url: https://localhost/OrderDetail|action: Index
2019-03-30 08:00:42.1225|INFO|ShoppingStore.Controllers.HomeController|User:abc checkout |url: https://localhost/Checkout|action: Index
2019-03-30 08:05:13.9778|DEBUG|ShoppingStore.Program|init main |url: |action: 
2019-03-30 08:06:02.2336|INFO|ShoppingStore.Controllers.HomeController|User:abc login |url: https://localhost/login|action: Index
2019-03-30 08:06:04.4822|INFO|ShoppingStore.Controllers.HomeController|User:abc viewed cart |url: https://localhost/cart|action: Index
2019-03-30 08:06:06.0440|INFO|ShoppingStore.Controllers.HomeController|User:abc checkout |url: https://localhost/Checkout|action: Index
2019-03-30 08:06:30.9762|ERROR|ShoppingStore.Controllers.HomeController|Verify order:{"OrderId":null,"Staus":null,"PlacedTime":"0001-01-01T00:00:00","Total":0.0,"User":null,"OrderItems":null,"ShippingAddressId":0,"ShippingAddress":{"AddressId":0,"FirstName":"yy","LastName":"tt","Address1":"288 Chestnut Ave, dsds, dsds, dsds","Address2":"dsds","City":"Jamai","State":"ny","Zip":"02130","Phone":"","DefaultAddress":false},"PaymentId":0,"Payment":{"PaymentId":0,"NameOnCard":"123","CardType":"PayPal","Issuer":null,"CardNumber":"1122334455667788","Expiration":"0120","CVV":"321","DefaultPayment":false,"BillingAddressId":0,"BillingAddress":{"AddressId":0,"FirstName":"Lily","LastName":"kolve","Address1":"ddss, dsd","Address2":"dsd","City":"bos","State":"ma","Zip":"09114","Phone":null,"DefaultAddress":false}},"Tracking":null} failed: Invalid Phone Number |url: https://localhost/OrderDetail|action: Index
2019-03-30 08:06:31.3109|INFO|ShoppingStore.Controllers.HomeController|User:abc checkout |url: https://localhost/Checkout|action: Index
2019-03-30 08:08:13.7697|DEBUG|ShoppingStore.Program|init main |url: |action: 
2019-03-30 08:11:53.1988|INFO|ShoppingStore.Controllers.HomeController|User:abc login |url: https://localhost/login|action: Index
2019-03-30 08:11:55.3762|INFO|ShoppingStore.Controllers.HomeController|User:abc viewed cart |url: https://localhost/cart|action: Index
2019-03-30 08:11:56.7699|INFO|ShoppingStore.Controllers.HomeController|User:abc checkout |url: https://localhost/Checkout|action: Index
2019-03-30 08:12:41.1082|INFO|ShoppingStore.Controllers.HomeController|User:abcplaeced order:"2019033012124031076083415" |url: https://localhost/OrderDetail|action: Index
2019-03-30 08:12:41.6022|INFO|ShoppingStore.Controllers.HomeController|User:abc viewed order:2019033012124031076083415 |url: https://localhost/OrderDetail|action: Index
2019-03-30 08:12:47.7880|INFO|ShoppingStore.Controllers.HomeController|User:abc viewed order list |url: https://localhost/OrderList|action: Index
